Starting server on port 37475
 * Serving Flask app 'system_monitor_rev0.4'
 * Debug mode: off
Starting monitoring with file: thermal_cpu_mem_gpu_wifi.log for client IP: 10.88.89.75
<generator object read_data_from_file at 0x7e8b87368740>
{'elapsed_time': '00:13', 'cpu_usage': 62.7, 'temperature': 41, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '00:31', 'cpu_usage': 62.6, 'temperature': 43, 'memory_test_failure': 0, 'tx_sender_throughput': 61.1, 'rx_receiver_throughput': 59.2}
{'elapsed_time': '00:49', 'cpu_usage': 66.4, 'temperature': 45, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.0}
{'elapsed_time': '01:06', 'cpu_usage': 62.3, 'temperature': 45, 'memory_test_failure': 0, 'tx_sender_throughput': 63.2, 'rx_receiver_throughput': 61.1}
{'elapsed_time': '01:24', 'cpu_usage': 62.8, 'temperature': 46, 'memory_test_failure': 0, 'tx_sender_throughput': 55.3, 'rx_receiver_throughput': 53.5}
{'elapsed_time': '01:42', 'cpu_usage': 54.6, 'temperature': 46, 'memory_test_failure': 0, 'tx_sender_throughput': 46.1, 'rx_receiver_throughput': 44.2}
{'elapsed_time': '02:00', 'cpu_usage': 64.0, 'temperature': 47, 'memory_test_failure': 0, 'tx_sender_throughput': 63.2, 'rx_receiver_throughput': 61.3}
{'elapsed_time': '02:18', 'cpu_usage': 53.3, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 66.4, 'rx_receiver_throughput': 64.7}
{'elapsed_time': '02:35', 'cpu_usage': 56.2, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 67.4, 'rx_receiver_throughput': 65.6}
{'elapsed_time': '02:53', 'cpu_usage': 53.8, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 67.0, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '03:11', 'cpu_usage': 66.1, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 67.6, 'rx_receiver_throughput': 66.0}
{'elapsed_time': '03:28', 'cpu_usage': 64.0, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 64.5, 'rx_receiver_throughput': 62.6}
{'elapsed_time': '03:46', 'cpu_usage': 61.3, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '04:04', 'cpu_usage': 62.8, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 65.5, 'rx_receiver_throughput': 63.6}
{'elapsed_time': '04:21', 'cpu_usage': 55.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 67.0}
{'elapsed_time': '04:39', 'cpu_usage': 55.7, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 62.0, 'rx_receiver_throughput': 60.2}
{'elapsed_time': '04:57', 'cpu_usage': 57.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 66.0, 'rx_receiver_throughput': 64.2}
{'elapsed_time': '05:15', 'cpu_usage': 58.8, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 66.0, 'rx_receiver_throughput': 64.4}
{'elapsed_time': '05:32', 'cpu_usage': 56.8, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '05:50', 'cpu_usage': 60.1, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '06:08', 'cpu_usage': 62.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.1}
{'elapsed_time': '06:25', 'cpu_usage': 59.2, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.0}
{'elapsed_time': '06:43', 'cpu_usage': 61.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.5, 'rx_receiver_throughput': 66.8}
{'elapsed_time': '07:01', 'cpu_usage': 60.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.5}
{'elapsed_time': '07:19', 'cpu_usage': 56.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.5}
{'elapsed_time': '07:37', 'cpu_usage': 59.4, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.9, 'rx_receiver_throughput': 67.2}
{'elapsed_time': '07:54', 'cpu_usage': 57.8, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.9, 'rx_receiver_throughput': 68.0}
{'elapsed_time': '08:12', 'cpu_usage': 58.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 67.4, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '08:30', 'cpu_usage': 56.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.5}
{'elapsed_time': '08:47', 'cpu_usage': 63.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.5}
{'elapsed_time': '09:05', 'cpu_usage': 55.6, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '09:23', 'cpu_usage': 64.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 67.4, 'rx_receiver_throughput': 65.6}
{'elapsed_time': '09:41', 'cpu_usage': 65.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.8, 'rx_receiver_throughput': 69.0}
{'elapsed_time': '09:58', 'cpu_usage': 51.0, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.9, 'rx_receiver_throughput': 67.2}
{'elapsed_time': '10:16', 'cpu_usage': 59.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.1}
{'elapsed_time': '10:34', 'cpu_usage': 61.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 66.9}
{'elapsed_time': '10:51', 'cpu_usage': 56.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.2}
{'elapsed_time': '11:09', 'cpu_usage': 56.1, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 71.0, 'rx_receiver_throughput': 69.3}
{'elapsed_time': '11:27', 'cpu_usage': 54.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.4}
{'elapsed_time': '11:45', 'cpu_usage': 57.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.6}
{'elapsed_time': '12:02', 'cpu_usage': 56.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.7, 'rx_receiver_throughput': 67.8}
{'elapsed_time': '12:20', 'cpu_usage': 59.4, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.2}
{'elapsed_time': '12:38', 'cpu_usage': 60.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.5, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '12:56', 'cpu_usage': 63.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.6, 'rx_receiver_throughput': 64.9}
{'elapsed_time': '13:14', 'cpu_usage': 63.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 55.9, 'rx_receiver_throughput': 54.4}
{'elapsed_time': '13:31', 'cpu_usage': 54.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 57.4, 'rx_receiver_throughput': 55.7}
{'elapsed_time': '13:49', 'cpu_usage': 61.4, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.6}
{'elapsed_time': '14:07', 'cpu_usage': 57.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 71.8, 'rx_receiver_throughput': 69.8}
{'elapsed_time': '14:25', 'cpu_usage': 56.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.4}
{'elapsed_time': '14:42', 'cpu_usage': 60.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '15:00', 'cpu_usage': 58.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '15:18', 'cpu_usage': 57.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.6, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '15:35', 'cpu_usage': 63.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '15:53', 'cpu_usage': 63.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.5}
{'elapsed_time': '16:11', 'cpu_usage': 52.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.7}
{'elapsed_time': '16:28', 'cpu_usage': 60.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 71.4, 'rx_receiver_throughput': 69.4}
{'elapsed_time': '16:46', 'cpu_usage': 54.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 72.0, 'rx_receiver_throughput': 70.4}
{'elapsed_time': '17:04', 'cpu_usage': 52.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '17:22', 'cpu_usage': 65.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '17:39', 'cpu_usage': 53.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 67.8, 'rx_receiver_throughput': 66.5}
